    , OS: Windows 11 | Browser: Microsoft Edge 122 | Resolution: 1920x1032 | Time: 13 May 2025 / 13:30:11  GMT+7

"#" , "Step"                                                                                                    , "Data"                                     , "Exp Result", "XPath"                                               , "cssSelector"
"1" , "Open website Edge"                                                                                    , "https://uitestingplayground.com/sampleapp", ""          , ""                                                    , ""
"2" , "Enter ""test"" into ""User Name"""                                                                       , "test"                                     , ""          , "//input[@name='UserName']"                           , "#d82ab153-93b3-312b-4801-44a400ac41c0"
"3" , "Enter ""******"" into ""********"""                                                                      , "pwd"                                      , ""          , "//input[@name='Password']"                           , "input[id='2c1f810c-bc63-cbde-0f65-337a53d03f41']"
"4" , "Click on ""Log Out"""                                                                                    , ""                                         , ""          , "//button[@id='login']"                               , "#login"
"5" , "Click on ""Log In"""                                                                                     , ""                                         , ""          , "//button[@id='login']"                               , "#login"
"6" , "Click on ""User logged out."""                                                                           , ""                                         , ""          , "//body/section/div[@class='container']/div[1]/div[1]", "body > section:nth-child(5) > div:nth-child(1) > div:nth-child(3) > div:nth-child(2)"
"99", "Close website"                                                                                           , "https://uitestingplayground.com/sampleapp", ""          , ""                                                    , ""
"99", "External step"                                                                                           , "Pause Execution|จบแล้วจ้า !!!"              , ""          , ""                                                    , ""
